integration,frequency,percentage
Snap Cart & Product Coupon,1,0.5
Tipalti,1,0.5
Revy Upsell,1,0.5
Excel,1,0.5
Facebook Business Manager,1,0.5
Amazon(Swa),1,0.5
Sprint,1,0.5
Instagram Ads,1,0.5
Orders,1,0.5
Bold Commerce,1,0.5
Snap Bundle,1,0.5
Xpressbees,1,0.5
Ecomm,1,0.5
3Pl,1,0.5
Snapsell Products,1,0.5
Bogo+,1,0.5
Snap B2B Wholesale,1,0.5
Snap Noti,1,0.5
Email,1,0.5
Hulk Product Reviews,1,0.5
Gitla,1,0.5
Carrier Service Api,1,0.5
Google Maps,1,0.5
Smtp Integration,1,0.5
Cin7,1,0.5
Wufoo,1,0.5
Route,1,0.5
Malomo,1,0.5
Discord,1,0.5
Microsoft,1,0.5
Pinterest Ads,1,0.5
Pinterest Catalog,1,0.5
Gls Belgium,1,0.5
Gls Express Belgium,1,0.5
Gls Parcel Belgium,1,0.5
Facebook Conversion Api,1,0.5
Multiple Google Pixel,1,0.5
Server Side Tracking,1,0.5
Multiple Pixels,1,0.5
Bikeflights Shipping Labels,1,0.5
Native Subscriptions,1,0.5
Bikeflights Shipping Rates,1,0.5
Youtube Video,1,0.5
Bikeflights Order Management,1,0.5
Web Portal,1,0.5
Shippo,1,0.5
Dhl,1,0.5
Redpack,1,0.5
Loop,1,0.5
Google Firebase,1,0.5
Instagram Stories,1,0.5
Datev,1,0.5
Onesignal - Push Notification,1,0.5
Google Mobile Ads,1,0.5
No-Code App Builder,1,0.5
Pos App,1,0.5
Facebook & Tiktok Pixel  Capi,1,0.5
Google Tracking,1,0.5
Google Ads Pixel,1,0.5
Monster Cart,1,0.5
Dhl Parcel,1,0.5
Bitbucket,1,0.5
Paywhirl,1,0.5
Git,1,0.5
Amazon S3,1,0.5
Wowcart,1,0.5
Upsell Funnel Engine,1,0.5
Bouncer,1,0.5
Emailmarker,1,0.5
Zerobounce,1,0.5
Sendpulse,1,0.5
Mails.So,1,0.5
ロジレス,1,0.5
Many More,1,0.5
Smartrr,1,0.5
Appstle,1,0.5
Recurpay,1,0.5
Hepsiburada,1,0.5
Phone,1,0.5
Text Message,1,0.5
Bold Subscriptions,1,0.5
Moveable Ink,1,0.5
Pdf,1,0.5
Criipto,1,0.5
Awtomatic,1,0.5
Trustpilot,1,0.5
Hootsuite,1,0.5
Freshrelevance,1,0.5
Logistics,1,0.5
Pickrr,1,0.5
Indian,1,0.5
Mitid,1,0.5
Instagram Dms,1,0.5
Chatgpt 4O,1,0.5
Blibli,1,0.5
Tokopedia,1,0.5
Razorpay,1,0.5
Google Sync,1,0.5
Facebook Audience Sync,1,0.5
Aftership,1,0.5
Bol,1,0.5
Aliexpress,1,0.5
Myparcel,1,0.5
Sistemas De Gestión,1,0.5
Hydrogen & 2048 Variants,1,0.5
Octane,1,0.5
Zoom,1,0.5
Native Shop Accounts,1,0.5
Custom Videos,1,0.5
Vimeo,1,0.5
Call,1,0.5
Cti,1,0.5
Request,1,0.5
Callback,1,0.5
Tremendous,1,0.5
Loom,1,0.5
Instant,1,0.5
Upcart,1,0.5
Fatture In Cloud,1,0.5
Mega Menu,1,0.5
Online Chat,1,0.5
Store Pickup + Delivery,1,0.5
Cross-Sell,1,0.5
Appstle℠ Subscriptions,1,0.5
Amazon Seller Central,1,0.5
Next Engine,1,0.5
配送日時指定,1,0.5
Point Of Sale,1,0.5
Rebuy Personalization Engine,1,0.5
Giftship,1,0.5
Apc Overnight,1,0.5
Seo,1,0.5
All Major Bank Accounts,1,0.5
Searchanise,1,0.5
Digital Download Products,1,0.5
Paypal / Stripe,1,0.5
Ecomposer & Foxify,1,0.5
Pagefly & Gempages,1,0.5
Monster Cart Upsell+Free Gifts,1,0.5
Infusionsoft,1,0.5
Convertkit,1,0.5
Dafiti,1,0.5
Falabella,1,0.5
Bpost,1,0.5
Linio,1,0.5
Google And Apple Pay,1,0.5
Algolia | Doofinder | Motive,1,0.5
Tiktok Live,1,0.5
Danea Easyfatt,1,0.5
Youtube Live,1,0.5
Facebook Live,1,0.5
Instagram Live,1,0.5
Ad Accounts,1,0.5
Connectiff | Adjust,1,0.5
Squarespace,1,0.5
Zapiet,1,0.5
Dhl Ecommerce,1,0.5
Parcel Send,1,0.5
Sequra | Aplazame | Scalapay,1,0.5
Mypost Business,1,0.5
Eparcel,1,0.5
Toll,1,0.5
Octone | Zendesk | Whatsapp,1,0.5
Hextom: Translate & Currency,1,0.5
Boost Product Filter & Search,1,0.5
Bing,1,0.5
Mercado Libre,1,0.5
Couriers,1,0.5
Abandoned Cart,1,0.5
Whatsapp Abandoned Cart,1,0.5
Canva.Com,1,0.5
Instagram Shop,1,0.5
Feed For Facebook,1,0.5
Product Feed,1,0.5
Startrack,1,0.5
Google Shopping,1,0.5
Unleashed,1,0.5
Myob,1,0.5
Sigep,1,0.5
Sigepweb,1,0.5
Correios,1,0.5
Clover,1,0.5
Ruffruff 予約販売,1,0.5
Line,1,0.5
Openlogi,1,0.5
Chat.Openai.Com,1,0.5
Facebook Live Sales,1,0.5
Acelérala,1,0.5
Multiple Pixe,1,0.5
Sunat,1,0.5
Copdate,1,0.5
Postgres,1,0.5
Ll Shopify Themes,1,0.5
Ai,1,0.5
Moloni,1,0.5
Marketo,1,0.5
Okta,1,0.5
Sfdc,1,0.5
Langshop,1,0.5
Online Store 2.0,1,0.5
Airbyte,1,0.5
App Blocks,1,0.5
Bizyness,1,0.5
Facebook Video,1,0.5
Facebook Wall Posts,1,0.5
Bing Ads,1,0.5
Minimax,1,0.5
Netsuite,1,0.5
Barcode Scanners,1,0.5
Telegram,1,0.5
Scroll Onpage,1,0.5
E-Računi,1,0.5
Metakocka,1,0.5
Pantheon,1,0.5
Vasco,1,0.5
All Your Marketing Channels,1,0.5
Shopif​Y Email,1,0.5
Omnisend,1,0.5
Mailerlite,1,0.5
Birokrat,1,0.5
Facebook & Instagram,1,0.5
Multi Pixel,1,0.5
Sendgrid,1,0.5
Apparel Magic,1,0.5
Your Existing Store,1,0.5
Wordpress,1,0.5
Ali Reviews,1,0.5
Checkout Api Branding,1,0.5
Loox.Io,1,0.5
Judge.Me And 30+ Other,1,0.5
Google Search Console,1,0.5
Gls,1,0.5
Ryviu,1,0.5
Speed,1,0.5
Shipping Bar,1,0.5
Dpd,1,0.5
Popup,1,0.5
Aisensy,1,0.5
Yellow.Ai,1,0.5
Netcore,1,0.5
Tellephant,1,0.5
Freshchat,1,0.5
Gupshup,1,0.5
Facebook Pixel Id,1,0.5
Magyar Posta,1,0.5
Amazon Selling Parnter,1,0.5
80+ Major Platforms,1,0.5
Social Share,1,0.5
Bigquery,1,0.5
Free And Premium Themes,1,0.5
Hotjar,1,0.5
Inspectlet,1,0.5
Paccofacile.It,1,0.5
Prestashop,1,0.5
Wix,1,0.5
Foxpost,1,0.5
Privy,1,0.5
Growave ‑ Reviews,1,0.5
Loox ‑ Photo Reviews,1,0.5
Royal Mail,1,0.5
Packeta,1,0.5
Magento,1,0.5
Mpl,1,0.5
Stamped.Io,1,0.5
